Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,32.27,0.0,0.0,645.4,0.0,0.0,0.0,320.0
1,32.27,0.0,3.23,580.84,4.2949673E9,65361.0,0.0,353.0
2,32.24,0.02,6.13,518.86,4.2949673E9,65289.0,0.0,404.0
3,32.06,0.05,8.73,457.28,136.0,62655.0,0.0,454.0
4,32.4,0.09,11.01,409.6,401.0,63363.0,0.0,504.0
5,32.12,0.15,13.06,352.15,773.0,63130.0,0.0,555.0
6,32.37,0.21,14.82,308.88,1230.0,63431.0,0.0,605.0
7,32.25,0.28,16.37,260.74,1784.0,64252.0,0.0,656.0
8,32.39,0.37,17.67,221.17,2412.0,63354.0,0.0,706.0
9,32.33,0.46,18.77,180.18,3120.0,63712.0,0.0,756.0
10,32.44,0.55,19.68,145.54,3888.0,64066.0,0.0,806.0
11,32.34,0.65,20.4,109.25,4721.0,64380.0,0.0,858.0
12,32.44,0.75,20.95,79.88,5611.0,63914.0,0.0,908.0
13,32.4,0.85,21.35,50.11,6534.0,64049.0,0.0,958.0
14,32.41,0.96,21.6,23.98,7504.0,63969.0,0.0,1008.0
15,32.34,1.07,21.72,-1.26,8496.0,63866.0,0.0,1058.0
16,32.4,1.18,21.71,-21.69,9522.0,64176.0,0.0,1110.0
17,32.44,1.29,21.6,-40.55,10558.0,63977.0,0.0,1160.0
18,32.4,1.39,21.4,-58.84,11616.0,64377.0,0.0,1210.0
19,32.49,1.5,21.11,-72.62,12672.0,63882.0,0.0,1260.0
20,32.46,1.61,20.74,-87.03,13739.0,64541.0,0.0,1311.0
21,32.48,1.71,20.31,-98.62,14795.0,63996.0,0.0,1361.0
22,32.44,1.81,19.82,-109.97,15852.0,64139.0,0.0,1412.0
23,32.49,1.91,19.27,-117.76,16898.0,63880.0,0.0,1462.0
24,32.4,2.01,18.68,-127.09,17923.0,63771.0,0.0,1513.0
25,32.27,2.1,18.04,-135.65,18933.0,63351.0,0.0,1563.0
26,32.16,2.19,17.36,-142.19,19914.0,64568.0,0.0,1613.0
27,31.72,2.28,16.65,-154.21,20875.0,63427.0,0.0,1664.0
28,31.6,2.36,15.88,-157.74,21985.0,63827.0,0.0,1714.0
29,31.62,2.44,15.09,-157.43,22877.0,63461.0,0.0,1765.0
30,31.57,2.52,14.31,-157.92,23731.0,63467.0,0.0,1815.0
31,31.54,2.59,13.52,-156.98,24551.0,63509.0,0.0,1865.0
32,31.17,2.65,12.73,-162.26,25326.0,63532.0,0.0,1915.0
33,31.09,2.72,11.92,-160.4,26063.0,63279.0,0.0,1967.0
34,30.92,2.78,11.12,-159.68,26761.0,63371.0,0.0,2017.0
35,30.74,2.83,10.32,-158.41,27412.0,63249.0,0.0,2067.0
36,30.77,2.89,9.53,-152.17,28022.0,63723.0,0.0,2117.0
37,30.93,2.93,8.77,-143.25,28584.0,63115.0,0.0,2167.0
38,30.99,2.98,8.05,-136.6,29107.0,63170.0,0.0,2219.0
39,31.02,3.02,7.37,-130.29,29581.0,62742.0,0.0,2269.0
40,31.15,3.05,6.72,-122.04,30019.0,63622.0,0.0,2319.0
41,31.2,3.09,6.11,-115.56,30414.0,62864.0,0.0,2369.0
42,31.38,3.12,5.53,-106.6,30775.0,62762.0,0.0,2420.0
43,31.28,3.15,5.0,-103.46,31096.0,63166.0,0.0,2470.0
44,31.35,3.17,4.48,-96.77,31394.0,63666.0,0.0,2521.0
45,31.19,3.19,3.99,-94.77,31651.0,63429.0,0.0,2571.0
46,31.3,3.21,3.52,-86.97,31889.0,63069.0,0.0,2621.0
47,31.45,3.23,3.09,-78.76,32101.0,63001.0,0.0,2672.0
48,31.28,3.25,2.69,-77.5,32280.0,63149.0,0.0,2722.0
49,31.01,3.26,2.3,-77.82,32445.0,63591.0,0.0,2772.0
50,30.13,3.27,1.92,-89.83,32576.0,63476.0,0.0,2823.0
51,29.9,3.28,1.47,-87.48,32704.0,63439.0,0.0,2874.0
52,29.95,3.29,1.03,-79.12,32816.0,62988.0,0.0,2924.0
53,30.47,3.29,0.63,-61.95,32892.0,64111.0,0.0,2974.0
54,31.0,3.3,0.32,-45.72,32940.0,63867.0,0.0,3024.0
55,31.41,3.3,0.09,-33.21,32967.0,65344.0,0.0,3075.0
56,31.86,3.3,-0.07,-21.0,32974.0,1301.0,0.0,3126.0
57,32.17,3.3,-0.18,-12.59,32979.0,363.0,0.0,3176.0
