Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent ()
4669,299.53,3.05,-14.93,5854.52,29985.0,61429.0
4670,288.6,2.98,14.34,-5923.9,29862.0,3408.0
4671,299.87,3.05,-15.28,6005.89,29949.0,62200.0
4672,287.84,2.97,14.75,-6093.62,29833.0,3240.0
4673,299.51,3.05,-15.72,6179.38,29937.0,62077.0
4674,287.53,2.97,15.18,-6261.76,29824.0,3258.0
4675,299.38,3.05,-16.13,6346.91,29921.0,62317.0
4676,287.07,2.97,15.61,-6431.76,29795.0,2956.0
4677,300.04,3.04,-16.55,6535.12,29890.0,62550.0
4678,287.3,2.96,16.12,-6624.54,29757.0,2790.0
4679,300.96,3.04,-17.0,6736.53,29843.0,62391.0
4680,289.52,2.96,16.68,-6795.33,29699.0,2296.0
4681,302.12,3.04,-17.29,6880.54,29780.0,62524.0
4682,291.67,2.95,17.11,-6916.66,29637.0,3041.0
4683,303.29,3.04,-17.47,6978.04,29669.0,61815.0
4684,293.95,2.95,17.42,-6990.22,29548.0,2731.0
4685,306.78,3.04,-17.53,7072.76,29574.0,62621.0
4686,292.11,2.95,17.83,-7190.86,29542.0,4160.0
4687,301.57,3.04,-18.12,7201.72,29683.0,62541.0
4688,284.06,2.95,17.88,-7370.56,29658.0,4088.0
4689,295.05,3.04,-18.97,7411.52,29812.0,62016.0
4690,278.67,2.94,18.09,-7549.61,29789.0,3171.0
4691,287.64,3.03,-19.66,7548.26,29952.0,63155.0
4692,271.47,2.94,18.08,-7675.11,29934.0,3556.0
4693,281.28,3.03,-20.29,7690.51,30114.0,61847.0
4694,265.65,2.92,18.16,-7800.11,30097.0,3346.0
4695,275.13,3.02,-20.84,7808.0,30273.0,62769.0
4696,266.78,2.91,18.2,-7766.6,30137.0,829.0
4697,285.44,3.0,-20.63,7957.96,30012.0,61715.0
4698,283.65,2.9,19.16,-7787.55,29666.0,2158.0
4699,307.48,2.99,-19.78,8072.66,29552.0,61416.0
4700,301.22,2.9,20.58,-8000.14,29199.0,2599.0
4701,297.7,3.0,-19.42,7724.06,29078.0,63095.0
4702,299.34,2.9,19.2,-7497.13,28941.0,3332.0
4703,298.55,3.0,-18.29,7289.4,29059.0,62801.0
4704,281.06,2.91,18.16,-7456.31,29079.0,3685.0
4705,291.0,3.0,-19.12,7473.48,29363.0,62915.0
4706,265.77,2.9,18.25,-7787.02,29388.0,3541.0
4707,274.59,2.99,-20.69,7781.03,29663.0,63635.0
4708,258.63,2.89,18.22,-7893.43,29729.0,3856.0
4709,265.74,2.98,-21.25,7853.56,29948.0,62539.0
4710,264.64,2.87,18.02,-7663.21,29782.0,3433.0
4711,275.74,2.96,-20.3,7705.07,29651.0,61277.0
4712,275.19,2.86,18.23,-7513.01,29370.0,1954.0
4713,296.49,2.95,-19.34,7756.7,29275.0,61521.0
4714,291.75,2.86,19.45,-7658.14,29000.0,1786.0
4715,312.28,2.95,-18.84,7874.25,28916.0,61029.0
4716,308.01,2.86,20.53,-7771.16,28643.0,2352.0
4717,302.44,2.96,-18.33,7454.38,28596.0,2066.0
4718,291.2,2.87,18.94,-7495.87,28729.0,3743.0
4719,293.14,2.97,-18.54,7345.27,29057.0,63112.0
4720,266.02,2.87,18.19,-7702.35,29166.0,3959.0
4721,271.26,2.96,-20.32,7625.38,29503.0,63093.0
4722,253.93,2.86,17.8,-7768.71,29607.0,63958.0
4723,271.12,2.95,-21.04,7934.32,29583.0,62177.0
4724,260.46,2.85,18.63,-7937.0,29331.0,2153.0
4725,283.25,2.94,-21.05,8206.32,29307.0,61386.0
4726,276.66,2.83,19.98,-8127.52,29052.0,2743.0
4727,296.67,2.93,-20.66,8327.86,29024.0,61987.0
4728,292.79,2.83,20.98,-8198.77,28756.0,2419.0
4729,311.79,2.94,-20.01,8368.88,28726.0,61742.0
4730,307.62,2.84,21.83,-8252.19,28442.0,2237.0
4731,310.71,2.95,-19.43,8095.8,28367.0,1479.0
4732,300.95,2.85,21.05,-8096.76,28442.0,3496.0
4733,301.24,2.95,-19.43,7892.04,28649.0,62596.0
4734,280.13,2.86,20.03,-8119.98,28685.0,4335.0
4735,288.29,2.96,-20.57,8083.04,28885.0,63128.0
4736,266.78,2.85,19.84,-8307.6,28927.0,3011.0
4737,273.33,2.95,-21.7,8240.27,29142.0,63031.0
4738,255.51,2.84,19.5,-8379.8,29183.0,4115.0
4739,266.0,2.94,-22.39,8394.61,29410.0,64012.0
4740,253.89,2.83,19.58,-8412.77,29415.0,63282.0
4741,274.49,2.93,-22.48,8628.99,29254.0,61651.0
4742,269.67,2.82,20.66,-8500.72,28922.0,2196.0
4743,295.07,2.92,-21.84,8802.24,28809.0,61556.0
4744,296.47,2.81,22.17,-8555.88,28483.0,2194.0
4745,316.74,2.92,-20.61,8739.64,28382.0,61431.0
4746,314.62,2.82,23.09,-8575.87,28061.0,2852.0
4747,292.72,2.93,-19.79,7907.01,28167.0,62509.0
4748,293.48,2.83,19.74,-7693.83,28273.0,4116.0
4749,285.85,2.93,-18.73,7343.67,28581.0,63342.0
4750,262.81,2.84,17.99,-7617.03,28646.0,4013.0
4751,271.98,2.93,-20.09,7620.5,28948.0,62890.0
4752,252.67,2.83,18.01,-7805.9,29003.0,4278.0
4753,261.11,2.92,-21.02,7794.76,29296.0,63239.0
4754,258.57,2.81,17.95,-7635.41,29171.0,2592.0
4755,270.89,2.9,-20.22,7702.32,29080.0,61509.0
4756,270.51,2.8,18.29,-7507.78,28730.0,2446.0
4757,293.71,2.89,-19.25,7788.89,28603.0,61405.0
4758,291.97,2.8,19.69,-7631.03,28310.0,2348.0
4759,313.79,2.9,-18.46,7870.5,28178.0,61360.0
4760,312.41,2.8,20.89,-7713.47,27932.0,2308.0
4761,308.87,2.91,-17.68,7433.66,28032.0,64806.0
4762,293.28,2.82,19.49,-7568.62,28175.0,4130.0
4763,286.92,2.92,-18.35,7246.48,28487.0,63036.0
4764,263.01,2.82,17.88,-7541.07,28607.0,4319.0
4765,268.47,2.91,-19.82,7471.36,28933.0,63236.0
4766,248.57,2.81,17.53,-7671.16,29054.0,65483.0
4767,266.3,2.9,-20.82,7850.42,29125.0,62030.0
4768,250.93,2.8,18.43,-7949.42,28989.0,2368.0
4769,275.07,2.89,-21.32,8247.9,28924.0,60710.0
4770,267.79,2.78,19.92,-8180.39,28641.0,2078.0
4771,289.96,2.88,-20.98,8424.64,28587.0,61047.0
4772,287.23,2.78,21.14,-8269.53,28309.0,2764.0
4773,306.61,2.88,-20.21,8445.9,28253.0,61187.0
4774,305.87,2.78,22.02,-8258.76,27962.0,2586.0
4775,324.08,2.89,-19.27,8402.72,27901.0,63763.0
4776,311.52,2.8,22.74,-8461.27,27843.0,3395.0
