CAN BUS Shield init ok!
Interrupt init ok!
EPOS enabled
Max Following Error set as 2000qc
Max Aceeleration set as 5000rpm/s
Max Profile Velocity set as 2000rpm
Min Position Limit defined as -300000qc
Min Position Limit defined as 300000qc
TPDO Configured!
State: Operational
-12.65
1000.00,7.36,26.35,-5270.41,3216,4041,3791650816,7417
125.96
1000.00,7.50,-0.00,5006.89,5072,4681,1610612736,7468
124.59
1000.00,7.50,25.03,-5006.89,7344,5752,0,7518
122.08
1000.00,7.62,-0.00,4756.55,10028,5089,0,7569
120.68
1000.00,7.62,23.78,-4756.55,13134,5533,0,7619
120.10
1000.00,7.74,-0.00,4518.72,16484,2272,0,7669
115.36
1000.00,7.74,22.59,-4518.72,19824,2756,0,7719
114.88
1000.00,7.85,-0.00,4292.78,23151,3124,0,7770
103.95
1000.00,7.85,21.46,-4292.78,26485,2624,0,7821
98.36
1000.00,7.96,-0.00,4078.14,29816,2703,0,7871
95.73
1000.00,7.96,20.39,-4078.14,33149,2732,0,7921
83.84
1000.00,8.06,-0.00,3874.24,36496,2623,0,7971
78.52
1000.00,8.06,19.37,-3874.24,39830,2548,0,8023
76.39
1000.00,8.16,-0.00,3680.53,43170,2719,0,8073
65.19
1000.00,8.16,18.40,-3680.53,46503,2618,0,8123
58.27
1000.00,8.25,-0.00,3496.50,49837,2055,0,8173
56.19
1000.00,8.25,17.48,-3496.50,53177,2539,0,8224
45.30
1000.00,8.34,-0.00,3321.68,57177,2710,0,8274
35.74
1000.00,8.34,16.61,-3321.67,60516,2793,0,8325
33.54
1000.00,8.42,-0.00,3155.59,63850,2773,0,8375
25.13
1000.00,8.42,15.78,-3155.59,67190,2191,0,8425
15.33
1000.00,8.50,-0.00,2997.81,70530,2934,0,8476
15.73
1000.00,8.50,14.99,-2997.81,73786,822,0,8526
9.82
1000.00,8.58,-0.00,2847.92,76639,65189,0,8577
2.90
1000.00,8.58,14.24,-2847.92,79166,152,0,8627
2.92
1000.00,8.65,-0.00,2705.52,81298,65130,0,8678
-2.17
1000.00,8.65,13.53,-2705.52,83137,65457,0,8728
-2.14
1000.00,8.71,-0.00,2570.25,84597,64186,0,8778
-2.47
1000.00,8.71,12.85,-2570.24,85800,64963,0,8828
-1.59
1000.00,8.78,-0.00,2441.73,86656,64719,0,8879
-4.56
1000.00,8.78,12.21,-2441.73,87327,63621,0,8930
-2.78
1000.00,8.84,-0.00,2319.64,87748,63749,0,8980
-8.68
1000.00,8.84,11.60,-2319.65,88012,3154,0,9030
-5.80
1000.00,8.90,-0.00,2203.67,88385,64274,0,9080
-11.14
