Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0
1,0.0,0.0,0.0,0.0,-2.0,65345.0,0.0,339.0
2,0.0,0.0,0.0,0.0,-3.0,1.0,0.0,390.0
3,0.0,0.0,0.0,0.0,-2.0,65172.0,0.0,440.0
4,0.0,0.0,0.0,0.0,-2.0,65499.0,0.0,490.0
5,0.0,0.0,0.0,0.0,-3.0,8.0,0.0,541.0
6,0.0,0.0,0.0,0.0,-2.0,64746.0,0.0,591.0
7,0.0,0.0,0.0,0.0,-3.0,64774.0,0.0,642.0
8,0.0,0.0,0.0,0.0,-3.0,452.0,0.0,692.0
9,0.0,0.0,0.0,0.0,-3.0,190.0,0.0,743.0
10,0.0,0.0,0.0,0.0,-5.0,880.0,0.0,793.0
11,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,843.0
12,0.0,0.0,0.0,0.0,-3.0,65518.0,0.0,893.0
13,0.0,0.0,0.0,0.0,-3.0,65518.0,0.0,945.0
14,0.0,0.0,0.0,0.0,-3.0,65517.0,0.0,995.0
15,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,1045.0
16,0.0,0.0,0.0,0.0,-3.0,65517.0,0.0,1095.0
17,0.0,0.0,0.0,0.0,-3.0,65518.0,0.0,1145.0
18,0.0,0.0,0.0,0.0,-3.0,65473.0,0.0,1197.0
19,0.0,0.0,0.0,0.0,-3.0,65518.0,0.0,1247.0
20,0.0,0.0,0.0,0.0,-3.0,65508.0,0.0,1297.0
21,0.0,0.0,0.0,0.0,-3.0,65508.0,0.0,1347.0
22,0.0,0.0,0.0,0.0,-3.0,65146.0,0.0,1398.0
23,0.0,0.0,0.0,0.0,-3.0,65518.0,0.0,1448.0
24,0.0,0.0,0.0,0.0,-3.0,65526.0,0.0,1499.0
25,0.0,0.0,0.0,0.0,-3.0,65518.0,0.0,1549.0
26,0.0,0.0,0.0,0.0,-3.0,9.0,0.0,1599.0
27,0.0,0.0,0.0,0.0,-3.0,81.0,0.0,1650.0
28,0.0,0.0,0.0,0.0,-3.0,353.0,0.0,1700.0
29,0.0,0.0,0.0,0.0,-4.0,1250.0,0.0,1751.0
30,0.0,0.0,0.0,0.0,-3.0,8.0,0.0,1801.0
31,0.0,0.0,0.0,0.0,-3.0,62.0,0.0,1851.0
32,0.0,0.0,0.0,0.0,-3.0,65490.0,0.0,1902.0
33,0.0,0.0,0.0,0.0,-3.0,263.0,0.0,1952.0
34,0.0,0.0,0.0,0.0,-2.0,65092.0,0.0,2002.0
35,0.0,0.0,0.0,0.0,-2.0,65409.0,0.0,2054.0
36,0.0,0.0,0.0,0.0,-3.0,65111.0,0.0,2104.0
37,0.0,0.0,0.0,0.0,-3.0,65527.0,0.0,2154.0
38,0.0,0.0,0.0,0.0,-4.0,317.0,0.0,2204.0
39,0.0,0.0,0.0,0.0,-3.0,53.0,0.0,2254.0
40,0.0,0.0,0.0,0.0,-3.0,26.0,0.0,2306.0
41,0.0,0.0,0.0,0.0,-3.0,17.0,0.0,2356.0
42,0.0,0.0,0.0,0.0,-3.0,65482.0,0.0,2406.0
43,0.0,0.0,0.0,0.0,-3.0,9.0,0.0,2456.0
44,0.0,0.0,0.0,0.0,-2.0,65491.0,0.0,2507.0
45,0.0,0.0,0.0,0.0,-2.0,64991.0,0.0,2557.0
46,0.0,0.0,0.0,0.0,-2.0,227.0,0.0,2608.0
47,0.0,0.0,0.0,0.0,-3.0,65535.0,0.0,2658.0
48,0.0,0.0,0.0,0.0,-3.0,65464.0,0.0,2709.0
49,0.0,0.0,0.0,0.0,-3.0,65500.0,0.0,2759.0
50,0.0,0.0,0.0,0.0,-3.0,308.0,0.0,2809.0
