Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent ()
0,643.35,0.0,0.0,12866.92,4.0,19.0
1,643.39,0.0,64.33,6434.42,4.0,65526.0
2,642.85,0.32,96.51,1919.61,4.0,2.0
3,642.38,0.8,106.1,-979.64,4.0,65526.0
4,643.27,1.33,101.21,-2594.26,4.0,2.0
5,643.47,1.84,88.24,-3317.25,4.0,65521.0
6,643.76,2.28,71.65,-3417.56,4.0,41.0
7,642.95,2.64,54.56,-3157.8,5.0,65101.0
8,642.79,2.91,38.77,-2673.33,4.0,54.0
9,643.03,3.11,25.41,-2107.46,4.0,65500.0
10,643.07,3.23,14.87,-1561.04,4.0,65414.0
11,643.23,3.31,7.06,-1074.52,4.0,6.0
12,643.44,3.34,1.69,-674.35,4.0,65419.0
13,642.8,3.35,-1.68,-383.82,4.0,65375.0
14,642.66,3.34,-3.6,-161.17,4.0,65380.0
15,643.55,3.33,-4.41,9.39,4.0,65393.0
16,642.81,3.3,-4.36,77.9,4.0,65414.0
17,643.15,3.28,-3.97,132.87,4.0,65410.0
18,642.98,3.26,-3.31,142.46,4.0,65397.0
19,643.35,3.25,-2.59,144.72,4.0,65375.0
20,643.06,3.23,-1.87,118.45,4.0,65426.0
21,643.33,3.22,-1.28,102.07,4.0,65363.0
22,643.3,3.22,-0.77,75.94,4.0,65405.0
23,643.11,3.21,-0.39,49.62,4.0,65375.0
24,643.4,3.21,-0.14,38.33,4.0,65380.0
25,642.67,3.21,0.05,7.35,4.0,65397.0
26,643.11,3.21,0.09,11.29,4.0,65397.0
27,643.4,3.21,0.15,9.8,4.0,65431.0
28,643.19,3.21,0.19,-2.19,4.0,65393.0
29,642.78,3.21,0.18,-13.17,4.0,65426.0
30,642.97,3.21,0.12,-6.57,4.0,65380.0
31,643.35,3.21,0.09,1.9,4.0,65385.0
32,643.55,3.21,0.09,3.42,4.0,65388.0
33,642.89,3.22,0.11,-13.5,4.0,65414.0
34,643.0,3.22,0.04,-6.74,4.0,65393.0
35,643.5,3.22,0.01,5.7,4.0,65375.0
36,642.94,3.22,0.04,-8.59,4.0,65402.0
37,643.25,3.22,-0.0,1.18,4.0,65368.0
38,643.43,3.22,0.0,4.2,4.0,65419.0
39,642.76,3.22,0.02,-11.25,4.0,65363.0
40,642.98,3.22,-0.03,-1.75,4.0,65405.0
41,643.48,3.22,-0.04,9.9,4.0,65375.0
42,643.61,3.22,0.01,8.36,4.0,65388.0
43,643.13,3.22,0.05,-5.59,4.0,65397.0
44,642.81,3.22,0.02,-10.2,4.0,65380.0
45,643.03,3.22,-0.03,-1.19,4.0,65358.0
46,643.39,3.22,-0.04,7.38,4.0,65405.0
47,643.15,3.22,0.0,-0.57,4.0,65410.0
48,643.15,3.22,-0.0,-0.15,4.0,65422.0
49,643.54,3.22,-0.0,7.66,4.0,65393.0
50,643.28,3.22,0.04,-1.26,4.0,65393.0
51,643.05,3.22,0.03,-6.0,4.0,65414.0
52,643.07,3.22,-0.0,-3.27,4.0,65397.0
53,643.25,3.22,-0.02,2.06,4.0,65350.0
54,643.19,3.22,-0.01,0.08,4.0,65397.0
55,642.7,3.22,-0.01,-9.62,4.0,65410.0
56,643.36,3.22,-0.05,8.63,4.0,65414.0
57,643.4,3.22,-0.01,6.2,4.0,65393.0
58,642.89,3.22,0.02,-6.95,4.0,65393.0
59,643.38,3.22,-0.01,5.91,4.0,65410.0
60,643.25,3.22,0.01,0.68,4.0,65368.0
61,643.19,3.22,0.02,-1.08,4.0,65375.0
62,642.9,3.22,0.01,-6.68,4.0,65397.0
63,643.79,3.22,-0.02,14.05,4.0,65393.0
64,643.05,3.22,0.05,-7.32,4.0,65410.0
65,642.78,3.22,0.01,-9.95,4.0,65397.0
66,642.78,3.22,-0.04,-5.24,4.0,65402.0
67,643.33,3.22,-0.06,9.02,4.0,65393.0
68,643.45,3.22,-0.02,8.18,4.0,65402.0
69,642.95,3.22,0.02,-5.51,4.0,65380.0
70,642.87,3.22,-0.0,-4.82,4.0,65414.0
71,643.95,3.22,-0.03,19.18,4.0,65380.0
72,643.18,3.22,0.07,-5.25,4.0,65380.0
73,642.46,3.22,0.04,-18.41,4.0,65358.0
74,643.32,3.22,-0.05,7.3,4.0,65431.0
75,643.67,3.22,-0.01,11.56,4.0,65397.0
76,643.27,3.22,0.04,-1.79,4.0,65393.0
77,643.31,3.22,0.03,-0.96,4.0,65397.0
78,643.93,3.22,0.03,11.18,4.0,65426.0
79,642.73,3.22,0.09,-19.07,4.0,65363.0
80,642.5,3.22,-0.01,-15.74,4.0,65426.0
81,644.24,3.22,-0.09,26.98,4.0,65397.0
82,643.49,3.22,0.05,0.34,4.0,65410.0
83,642.82,3.22,0.05,-14.24,4.0,65385.0
84,642.66,3.22,-0.02,-11.29,4.0,65405.0
85,643.89,3.22,-0.08,19.52,4.0,65426.0
86,643.77,3.22,0.02,8.94,4.0,65414.0
87,643.01,3.22,0.06,-11.13,4.0,65385.0
88,643.01,3.22,0.01,-6.82,4.0,65397.0
89,643.67,3.22,-0.03,9.6,4.0,65410.0
90,644.05,3.22,0.02,13.04,4.0,65393.0
91,642.84,3.22,0.09,-18.13,4.0,65385.0
92,643.3,3.22,-0.0,-1.64,4.0,65375.0
93,643.85,3.22,-0.01,10.33,4.0,65393.0
94,643.5,3.22,0.04,-1.64,4.0,65375.0
95,642.47,3.22,0.03,-22.14,4.0,65410.0
96,644.4,3.22,-0.08,26.98,4.0,65426.0
97,643.73,3.22,0.06,1.61,4.0,65414.0
98,642.27,3.22,0.06,-29.5,4.0,65388.0
99,643.15,3.22,-0.08,1.48,4.0,65370.0
100,644.52,3.22,-0.08,29.86,4.0,65426.0
101,643.23,3.22,0.07,-9.2,4.0,65393.0
102,642.68,3.22,0.03,-17.12,4.0,65380.0
103,643.81,3.22,-0.06,13.54,4.0,65410.0
104,643.7,3.22,0.01,5.71,4.0,65431.0
105,642.54,3.22,0.04,-20.58,4.0,65375.0
106,643.73,3.22,-0.07,12.88,4.0,65375.0
107,643.75,3.22,-0.0,8.08,4.0,65397.0
108,642.98,3.22,0.04,-11.17,4.0,65419.0
109,643.39,3.22,-0.02,1.66,4.0,65385.0
110,644.34,3.22,-0.01,20.26,4.0,65380.0
111,643.31,3.22,0.09,-10.23,4.0,65426.0
112,642.17,3.22,0.04,-29.75,4.0,65414.0
113,644.24,3.22,-0.11,25.53,4.0,65380.0
114,644.16,3.22,0.02,13.47,4.0,65414.0
115,642.15,3.22,0.09,-33.94,4.0,65397.0
116,643.31,3.22,-0.08,4.38,4.0,65414.0
117,643.54,3.22,-0.06,8.48,4.0,65389.0
118,642.6,3.22,-0.02,-13.33,4.0,65372.0
119,643.25,3.22,-0.08,6.69,4.0,65375.0
120,643.67,3.22,-0.05,13.38,4.0,65363.0
121,643.9,3.22,0.02,12.36,4.0,65431.0
122,643.16,3.22,0.08,-8.9,4.0,65426.0
123,643.17,3.22,0.03,-5.84,4.0,65397.0
124,643.39,3.22,0.0,0.9,4.0,65410.0
125,643.03,3.22,0.01,-7.01,4.0,65431.0
126,643.84,3.22,-0.03,12.53,4.0,65397.0
127,643.87,3.22,0.04,7.44,4.0,65393.0
128,642.66,3.22,0.07,-21.23,4.0,65414.0
129,643.03,3.22,-0.03,-4.7,4.0,65375.0
130,644.39,3.22,-0.06,25.58,4.0,65372.0
131,643.84,3.22,0.07,2.85,4.0,65393.0
132,641.93,3.22,0.09,-38.03,4.0,65414.0
133,643.5,3.22,-0.1,10.55,4.0,65414.0
134,643.64,3.22,-0.05,10.25,4.0,65388.0
135,643.04,3.22,-0.0,-5.88,4.0,65345.0
136,643.32,3.22,-0.03,2.68,4.0,65405.0
137,644.02,3.22,-0.02,15.89,4.0,65414.0
138,643.15,3.22,0.06,-9.05,4.0,65410.0
139,642.9,3.22,0.02,-10.76,4.0,65384.0
140,644.0,3.22,-0.04,16.08,4.0,65414.0
141,644.25,3.22,0.04,13.89,4.0,65375.0
142,642.66,3.22,0.11,-25.87,4.0,65380.0
143,643.02,3.22,-0.02,-7.99,4.0,65397.0
144,644.44,3.22,-0.06,24.87,4.0,65393.0
145,643.3,3.22,0.07,-9.4,4.0,65426.0
146,643.16,3.22,0.02,-8.81,4.0,65410.0
147,643.88,3.22,-0.02,9.44,4.0,65397.0
148,643.59,3.22,0.03,-0.62,4.0,65393.0
149,643.01,3.22,0.02,-12.36,4.0,65397.0
150,643.77,3.22,-0.04,8.62,4.0,65368.0
151,643.67,3.22,0.0,3.18,4.0,65431.0
152,642.98,3.22,0.02,-12.27,4.0,65397.0
153,643.26,3.22,-0.04,-1.07,4.0,65350.0
154,643.26,3.22,-0.05,0.31,4.0,65375.0
155,643.59,3.22,-0.05,7.84,4.0,65426.0
156,643.3,3.22,-0.01,-1.1,4.0,65375.0
157,643.31,3.22,-0.01,-0.25,4.0,65414.0
158,643.12,3.22,-0.01,-3.57,4.0,65431.0
159,643.64,3.22,-0.03,8.91,4.0,65397.0
160,643.41,3.22,0.01,0.43,4.0,65397.0
161,643.25,3.22,0.02,-3.26,4.0,65380.0
162,643.37,3.22,-0.0,0.47,4.0,65410.0
163,643.11,3.22,0.0,-5.04,4.0,65388.0
164,643.23,3.22,-0.02,-0.14,4.0,65414.0
165,643.23,3.22,-0.02,0.4,4.0,65397.0
166,643.38,3.22,-0.02,3.74,4.0,65363.0
167,643.61,3.22,-0.0,6.97,4.0,65410.0
168,643.59,3.22,0.03,3.24,4.0,65444.0
169,643.09,3.22,0.05,-9.11,4.0,65410.0
170,643.51,3.22,0.0,3.0,4.0,65397.0
171,642.75,3.22,0.02,-13.78,4.0,65385.0
172,643.28,3.22,-0.05,3.37,4.0,65375.0
173,643.51,3.22,-0.04,7.38,4.0,65393.0
174,642.9,3.22,0.0,-7.96,4.0,65380.0
175,642.82,3.22,-0.04,-5.46,4.0,65393.0
176,643.71,3.22,-0.07,15.84,4.0,65358.0
177,642.98,3.22,0.01,-5.53,4.0,65388.0
178,642.98,3.22,-0.01,-2.88,4.0,65363.0
179,643.82,3.22,-0.03,15.52,4.0,65402.0
180,643.12,3.22,0.05,-5.63,4.0,65410.0
181,642.83,3.22,0.02,-9.58,4.0,65370.0
182,643.79,3.22,-0.03,13.88,4.0,65389.0
183,643.39,3.22,0.04,-0.55,4.0,65380.0
184,642.99,3.22,0.04,-8.99,4.0,65417.0
185,643.33,3.22,-0.0,1.45,4.0,65397.0
186,643.55,3.22,0.0,5.31,4.0,65402.0
187,642.9,3.22,0.03,-10.38,4.0,65393.0
188,643.45,3.22,-0.02,5.14,4.0,65393.0
189,643.33,3.22,0.0,0.63,4.0,65375.0
190,643.01,3.22,0.01,-6.16,4.0,65397.0
191,643.39,3.22,-0.03,4.51,4.0,65380.0
192,642.77,3.22,-0.0,-9.76,4.0,65414.0
193,642.9,3.22,-0.05,-2.1,4.0,65405.0
194,643.56,3.22,-0.06,13.13,4.0,65380.0
195,642.79,3.22,0.0,-7.6,4.0,65380.0
196,642.79,3.22,-0.03,-3.88,4.0,65380.0
197,643.16,3.22,-0.05,6.12,4.0,65368.0
198,643.23,3.22,-0.02,5.58,4.0,65380.0
199,642.84,3.22,0.0,-4.62,4.0,65426.0
200,643.32,3.22,-0.02,7.22,4.0,65419.0
201,643.11,3.22,0.02,-0.36,4.0,65422.0
202,644.08,3.22,0.02,19.03,4.0,65380.0
203,643.0,3.22,0.11,-12.47,4.0,65380.0
204,643.23,3.22,0.05,-3.97,4.0,65393.0
205,643.68,3.22,0.03,6.18,4.0,65402.0
206,642.59,3.22,0.06,-19.31,4.0,65358.0
207,642.92,3.22,-0.04,-4.28,4.0,65402.0
208,643.62,3.22,-0.06,12.55,4.0,65389.0
209,644.2,3.22,0.0,19.14,4.0,65380.0
210,643.02,3.22,0.1,-14.27,4.0,65363.0
211,642.74,3.22,0.03,-14.6,4.0,65380.0
212,643.22,3.22,-0.04,1.58,4.0,65419.0
213,643.07,3.22,-0.04,-1.38,4.0,65393.0
214,642.73,3.22,-0.04,-6.71,4.0,65393.0
215,643.41,3.22,-0.08,11.14,4.0,65414.0
216,642.99,3.22,-0.02,-1.25,4.0,65388.0
217,642.94,3.22,-0.03,-1.17,4.0,65410.0
218,642.78,3.22,-0.03,-3.26,4.0,65358.0
219,644.2,3.22,-0.05,27.42,4.0,65363.0
220,643.85,3.22,0.09,7.63,4.0,65414.0
221,642.51,3.22,0.13,-24.74,4.0,65440.0
222,642.56,3.22,0.0,-13.93,4.0,65354.0
223,644.11,3.22,-0.07,23.95,4.0,65363.0
224,642.86,3.22,0.05,-11.71,4.0,65380.0
225,642.21,3.22,-0.01,-19.74,4.0,65380.0
226,643.8,3.22,-0.1,21.85,4.0,65414.0
